// On smaller screens the labels may overlap, but for the legend we want them drawn regardless
ShowLabelsBelow = 0

type,             x,     z,    description,          owner,  href,                  iconIndex

Label,            -4800, -4800, 128,,, 128
Label,            -4800, -4000, 129,,, 129
Label,            -4800, -3200, 130,,, 130
Label,            -4800, -2400, 131,,, 131
Label,            -4800, -1600, 132,,, 132
Label,            -4800,  -800, 133,,, 133
Label,            -4800,     0, 134,,, 134
Label,            -4800,   800, 135,,, 135
Label,            -4800,  1600, 136,,, 136
Label,            -4800,  2400, 137,,, 137
Label,            -4800,  3200, 138,,, 138
Label,            -4800,  4000, 139,,, 139
Label,            -4800,  4800, 140,,, 140

Label,            -2400, -4800, 141,,, 141
Label,            -2400, -4000, 142,,, 142
Label,            -2400, -3200, 143,,, 143
Label,            -2400, -2400, 144,,, 144
Label,            -2400, -1600, 145,,, 145
Label,            -2400,  -800, 146,,, 146
Label,            -2400,     0, 147,,, 147
Label,            -2400,   800, 148,,, 148
Label,            -2400,  1600, 149,,, 149
Label,            -2400,  2400, 150,,, 150
Label,            -2400,  3200, 151,,, 151
Label,            -2400,  4000, 152,,, 152
Label,            -2400,  4800, 153,,, 153

Label,                0, -4800, 153,,, 153
Label,                0, -4000, 154,,, 154
Label,                0, -3200, 155,,, 155
Label,                0, -2400, 156,,, 156
Label,                0, -1600, 157,,, 157
Label,                0,  -800, 158,,, 158
Label,                0,   800, 159,,, 159
Label,                0,  1600, 160,,, 160
Label,                0,  2400, 161,,, 161
Label,                0,  3200, 162,,, 162
Label,                0,  4000, 163,,, 163
Label,                0,  4800, 164,,, 164

Label,             2400, -4800, 165,,, 165
Label,             2400, -4000, 166,,, 166
Label,             2400, -3200, 167,,, 167
Label,             2400, -2400, 168,,, 168
Label,             2400, -1600, 169,,, 169
Label,             2400,  -800, 170,,, 170
Label,             2400,     0, 171,,, 171
Label,             2400,   800, 172,,, 172
Label,             2400,  1600, 173,,, 173
Label,             2400,  2400, 174,,, 174
Label,             2400,  3200, 175,,, 175
Label,             2400,  4000, 176,,, 176
Label,             2400,  4800, 177,,, 177

Label,             4800, -4800, 178,,, 178
Label,             4800, -4000, 179,,, 179
Label,             4800, -3200, 180,,, 180
Label,             4800, -2400, 181,,, 181
Label,             4800, -1600, 182,,, 182
Label,             4800,  -800, 183,,, 183
Label,             4800,     0, 184,,, 184
Label,             4800,   800, 185,,, 185
Label,             4800,  1600, 186,,, 186
Label,             4800,  2400, 187,,, 187
Label,             4800,  3200, 188,,, 188
Label,             4800,  4000, 189,,, 189
Label,             4800,  4800, 190,,, 190

Title = "Legend"
Blurb = "Shows all icons, with icon number."
LabelsLevel = 0
Range = 6400
OceanSrc = ""
Icons = img/icon.png
